id,feature_name,feature_type,lon,lat
8916,St Mary's St at White Oak Rd,Bus Stop,-78.6508248592262,35.8220350467193
8921,Lassiter Mill Rd at Currituck Dr,Bus Stop,-78.6460501571842,35.8360047209097
8922,Lassiter Mill Rd at Ramblewood Dr (SB),Bus Stop,-78.6465936379311,35.8337200061142
8923,St Mary's St at Glenwood Ave,Bus Stop,-78.6511758301094,35.8134335543385
8925,MLK Jr Blvd at S State St,Bus Stop,-78.6248928307968,35.7679072088738
8932,Six Forks Rd at Barrett Dr,Bus Stop,-78.6343489996356,35.8280370005609
8934,Edwards Mill Rd at Parklake Ave,Bus Stop,-78.6885301368024,35.8366392584494
9046,Atlantic Ave at Dixie Forest Rd,Bus Stop,-78.5987799993484,35.8628599995906
9054,Athens Dr at Bouree Ct,Bus Stop,-78.7196089997701,35.776620999906
9055,Jones Franklin Rd at Barringer Dr,Bus Stop,-78.7216349998748,35.7782870002116
9064,Western Blvd at Carolina Ave,Bus Stop,-78.7165299998792,35.7863600003108
9071,Deboy St at Driftwood Dr,Bus Stop,-78.7077883582039,35.7818979281687
9074,Kaplan Dr at Swallow Dr,Bus Stop,-78.7138340003031,35.7731309993988
9090,Athens Dr at Smithdale Dr (SB),Bus Stop,-78.7142340156075,35.7717178440691
9100,New Hope Church Rd at Brinkley Dr,Bus Stop,-78.5971199998399,35.8352799991883
9102,Green Rd at New Hope Church Rd (NB),Bus Stop,-78.592802455836,35.8360352102651
9131,Six Forks at Millbrook,Bus Stop,-78.6414408134265,35.8555984217984
9160,Garner Rd at Bailey Dr,Bus Stop,-78.6313509999356,35.7547170003275
9196,E Bragg St at S Bloodworth St,Bus Stop,-78.6335600003384,35.7658189995868
9201,S Person St at Lenoir St,Bus Stop,-78.6351326871945,35.7726063885478
9206,S Tarboro Rd at New Bern Ave,Bus Stop,-78.6222117342711,35.7793867813357
9207,Bus Way at Poole Rd,Bus Stop,-78.5641189274723,35.7667376763906
9217,Glenbrook Dr at Ellerbe Ln,Bus Stop,-78.6035583611268,35.7674775677646
9234,E Martin St at S Swain St,Bus Stop,-78.629343348819,35.7765531874517
9244,Poole Rd at Heath St,Bus Stop,-78.6174908017888,35.778937342151
9258,Poole Rd at Beverly Dr (EB),Bus Stop,-78.5947266615476,35.7714589348772
9262,Beverly Dr at Bromley St,Bus Stop,-78.5951915998942,35.7660809294865
9264,Beverly Dr at Friar Tuck Rd,Bus Stop,-78.5963390000403,35.7639409997476
9282,Birch Ridge Dr at Rock Bridge Rd,Bus Stop,-78.5769551384666,35.7667850864999
9301,E Millbrook Rd at Falls of Neuse Rd (WB),Bus Stop,-78.6160460233511,35.8507429245158
9306,Poole Rd at Coke St,Bus Stop,-78.6116267945485,35.776895232135
9316,E Lenoir St at Haywood (OB),Bus Stop,-78.6283912487038,35.7726477780265
9317,E Lenoir St at S State St,Bus Stop,-78.6246230828866,35.7725219506791
9320,Creedmoor Rd at Sherborne Pl,Bus Stop,-78.6806941685116,35.8539220446937
9338,Carolina Pines Ave at Batts St,Bus Stop,-78.6640451334972,35.7518912729385
9347,Rush St at Boone Tr,Bus Stop,-78.633872000508,35.7411511526312
9356,Cross Link Rd at Rock Quarry Rd,Bus Stop,-78.6136471909624,35.754447786667
9358,Cross Link Rd at Hadley Rd,Bus Stop,-78.617072587515,35.7515300462464
9359,Cross Link Rd at Dandridge Dr (WB),Bus Stop,-78.6229437085141,35.7463395386375
9362,Cross Link Rd at Garner Rd,Bus Stop,-78.6301269743941,35.7404643555334
9364,Rush St at Sheldon Dr,Bus Stop,-78.6363412087126,35.7417253392613
9367,Carolina Pine Ave at S Saunders St (WB),Bus Stop,-78.6498798584967,35.7489729102189
9369,Carolina Pines Ave at Springhill Ave (WB),Bus Stop,-78.656800540531,35.7466100483262
9391,Lake Boone Trl at Nancy Ann Dr,Bus Stop,-78.6975580023885,35.815425754746
9401,Method Rd at Western Blvd,Bus Stop,-78.6939034518951,35.7847512747392
9405,Sunnybrook Rd at Sungate Blvd,Bus Stop,-78.5834687659979,35.7764465944008
9414,Lake Boone Trl at Rexwoods Dr (WB),Bus Stop,-78.7014474452607,35.8155905691936
9416,Halifax St at E Peace St,Bus Stop,-78.6385399871858,35.7883819621031
9456,N East St at E Jones St,Bus Stop,-78.6320962036678,35.7821881281534
9460,E Lane St at Linden Ave,Bus Stop,-78.6295273210942,35.7834896443423
9476,W Hargett St at S Salisbury St,Bus Stop,-78.6404991274805,35.7783686406953
9483,Hillsborough St at Boylan St,Bus Stop,-78.6503954564355,35.7808716247096
9518,Poole Rd at Rawls Dr,Bus Stop,-78.5870527906566,35.772351072537
9519,Poole Rd at Cooper Rd,Bus Stop,-78.585588976918,35.7722530283122
9527,Spring Forest Rd at Rainwater Rd,Bus Stop,-78.6110769034238,35.8681488366659
9531,Atlantic Ave at Spring Forest Rd,Bus Stop,-78.5994235137904,35.8620178961357
9546,Perry Creek Rd at Clarks Fork Dr,Bus Stop,-78.5560446834922,35.8893488998055
9563,St Marys St at Wake Dr (NB),Bus Stop,-78.6512570000818,35.8118819996483
9570,W Morgan St at S West St,Bus Stop,-78.6461572381627,35.7797851468051
9581,Perry Creek Rd at N Raleigh Christian Academy,Bus Stop,-78.5434675517606,35.8779899062585
9586,Durant Rd at Deponie Dr,Bus Stop,-78.5850909994335,35.9038810004497
9588,Durant Rd at Raven Ridge Rd,Bus Stop,-78.5915077975603,35.9055950315021
9596,Fox Rd at Louisburg Rd,Bus Stop,-78.5465345744138,35.8690156146186
9612,Cates Ave at Jensen Dr,Bus Stop,-78.6683877890066,35.7819997412875
9613,Dunn Ave at Jeter Dr,Bus Stop,-78.6681920182585,35.7839010934317
9616,Athens Dr at Hailey Dr,Bus Stop,-78.7180370001252,35.7755590002069
9617,Athens Drive High School EB,Bus Stop,-78.7094392721516,35.7689739405801
9625,Corporation Pkwy at New Bern Ave,Bus Stop,-78.5684109159479,35.8001191967826
9634,Brentwood Rd at Stonybrook Dr,Bus Stop,-78.5946920997654,35.816728463852
9636,Buffaloe Rd at Capital Blvd,Bus Stop,-78.5816160356401,35.8344402129428
9641,New Hope Rd at Donna Rd,Bus Stop,-78.5693696096972,35.8268000499716
9644,Marsh Creek Rd at Vena Wilburn Elementary School,Bus Stop,-78.5738329996792,35.8209799997341
9646,Trawick Rd at Streams of Fields Dr,Bus Stop,-78.5794180988884,35.8148070306195
9651,New Hope Rd at Willow Oak R,Bus Stop,-78.5648016064089,35.8055900178747
9661,MLK Jr Blvd at S Person St,Bus Stop,-78.6377356087309,35.7694972539509
9663,Creedmoor Rd at Sherborne Pl,Bus Stop,-78.6803536755779,35.8545700782145
9668,Hardimont Rd at Colby Dr,Bus Stop,-78.6186200002706,35.8372499997431
9669,Hardimont Rd at Bland Rd,Bus Stop,-78.6144789904913,35.8371570881942
9671,Lassiter Mill Rd at Six Forks Rd,Bus Stop,-78.6430909997388,35.8393410000558
9672,Six Forks Rd at Anderson Dr,Bus Stop,-78.6321266151981,35.8232790232497
9677,Peace St at Smallwood Dr,Bus Stop,-78.6546295397631,35.7886649972054
9678,Oberlin Rd at Van Dyke Ave,Bus Stop,-78.6611262291506,35.7952960679576
9683,Blue Ridge Rd at Edgemont Dr,Bus Stop,-78.6962410003168,35.8258459994867
9687,Blue Ridge Rd at Ed Dr,Bus Stop,-78.7027780002151,35.8220839995357
9690,Blue Ridge Rd at Ed Dr,Bus Stop,-78.7027439998799,35.8219120006186
9693,Blue Ridge Rd at Morningside Dr,Bus Stop,-78.6954674547374,35.8259081251375
9697,Oberlin Rd at Cartier Dr,Bus Stop,-78.6594829998009,35.8148859994948
9709,Garner Station Blvd at Lennox Place,Bus Stop,-78.6589539998964,35.7246830009608
9718,Glascock St at Benjamin St,Bus Stop,-78.631119999957,35.7931530004261
9722,Southgate Dr at Crawford Rd,Bus Stop,-78.6077711903148,35.7535462822761
9726,Lenoir St at Coleman St,Bus Stop,-78.6226435732928,35.7725906258765
9731,E Hargett St at S Person St,Bus Stop,-78.6347429593968,35.7781867572553
9740,Bastion Ln at Tower Shopping Center,Bus Stop,-78.5820339247238,35.7990500530795
9760,Cross Link Rd at Laodicea Dr,Bus Stop,-78.6272466171655,35.7400525490254
9769,Macaw St at Brier Creek Pkwy,Bus Stop,-78.7837889259365,35.9055302608063
9781,Sierra Dr at Shenandoah Rd,Bus Stop,-78.6747387307417,35.751410405632
9783,Sierra Dr at Lake Wheeler Rd,Bus Stop,-78.6695542621829,35.7510896049146
9786,Glenwood Ave at The Circle,Bus Stop,-78.6487872546846,35.8091234649036
9788,N Blount St at Polk St,Bus Stop,-78.6361831510367,35.7861938703554
9792,Trailwood Hills Dr at Tryon Rd (NB),Bus Stop,-78.6832512849516,35.7434526616368
9795,Trailwood Hills Dr at Tryon Rd,Bus Stop,-78.683366050119,35.7431874280075
9797,Rush St at Hammond Business Pl,Bus Stop,-78.6392749564119,35.7424114729199
9809,Western Blvd at Hunt Dr (WB),Bus Stop,-78.6567439996687,35.7751779995321
9810,Pullen Rd at Cates Ave,Bus Stop,-78.6666112483614,35.7814422489519
9900,Raleigh Convention Center,Bus Stop,-78.6405306089396,35.7733430769422
8488,St Marys St at Wade Ave,Bus Stop,-78.6531925820582,35.7949566007164
8956,Durant Rd at Raven Ridge Rd,Bus Stop,-78.590455714954,35.905052062584
8959,Durant Rd at Camp Durant Rd,Bus Stop,-78.5776138802509,35.9003737329938
8962,Durant Rd at Capital Blvd,Bus Stop,-78.5580260012198,35.8916574486653
8969,Fox Rd at Beaverwood Dr,Bus Stop,-78.5518677860174,35.8716049463787
8974,Fox Rd at Sterling Town Center Apartments,Bus Stop,-78.5676184311874,35.867440520888
8976,Perry Creek Rd at Capital Blvd,Bus Stop,-78.5574772574185,35.8913332581816
8947,Homewood Banks Dr. at Solis Crabtree Apts.,Bus Stop,-78.6801088765781,35.834657893323
8981,Rush St at Hammond Rd,Bus Stop,-78.6393952543032,35.742555535002
8880,Tryon Road at Trailwood Drive,Bus Stop,-78.6955297454752,35.7464572701315
8407,Garner Station Blvd. at North Station (Carlie C's),Bus Stop,-78.6552555972441,35.7249984713173
8896,MLK Jr. at East St,Bus Stop,-78.6323256414762,35.7682970915502
